code,channel,axis_label,axis_value,decoder,ler_mean,ler_lo,ler_hi,n_shots,seed
R14-3-fb/seed0,b,eta,0.94,map,0.1845,0.1659875,0.201,2000,200940
R14-3-fb/seed0,b,eta,0.95,map,0.0875,0.075,0.1,2000,200950
R14-3-fb/seed0,b,eta,0.96,map,0.0175,0.012,0.0235,2000,200960
R14-3-fb/seed1,b,eta,0.94,map,0.1825,0.1665,0.2,2000,200940
R14-3-fb/seed1,b,eta,0.95,map,0.072,0.061,0.084,2000,200950
R14-3-fb/seed1,b,eta,0.96,map,0.0165,0.011487500000000012,0.022012499999999987,2000,200960
R14-3-fb/seed2,b,eta,0.94,map,0.171,0.1535,0.187,2000,200940
R14-3-fb/seed2,b,eta,0.95,map,0.077,0.0655,0.08851249999999998,2000,200950
R14-3-fb/seed2,b,eta,0.96,map,0.0195,0.0135,0.0265,2000,200960
