eta,p_phys_per_gate,p_phys_per_shot,F_avg_per_gate,F_avg_per_shot,n_states
0.94,0.5024156037398808,0.9997764879674516,0.49758439626011924,0.00022351203254847976,500
0.95,0.4415546705902662,0.9996557654446048,0.5584453294097338,0.00034423455539520754,500
0.96,0.36311892456937755,0.9993882070356933,0.6368810754306224,0.0006117929643067135,500
0.97,0.29785583742103405,0.9985353504031824,0.702144162578966,0.0014646495968176046,500
0.98,0.19291972201941499,0.9945541192272954,0.807080277980585,0.0054458807727046,500
0.9296,0.5589160157957473,0.9998301230300002,0.44108398420425265,0.00016987696999977832,500
0.99,0.1048098697579033,0.9636295193044129,0.8951901302420967,0.036370480695587126,500
0.995,0.04235601652472343,0.8388901684741069,0.9576439834752766,0.16110983152589306,500
0.998,0.021574318669981496,0.5650608676887909,0.9784256813300185,0.434939132311209,500
