code,channel,axis_label,axis_value,decoder,ler_mean,ler_lo,ler_hi,n_shots,seed
R12-a2a,b,eta,0.97,map,0.0016,0.0006,0.0028,5000,200970
R12-a2a,b,eta,0.98,map,0.0,0.0,0.0,5000,200980
R12-a2a,b,eta,0.98,map,0.0,0.0,0.0,20000,200980
R12-a2a,b,eta,0.99,map,0.0,0.0,0.0,5000,200990
R14-3b/seed1,b,eta,0.97,map,0.0014,0.0005950000000000045,0.0024049999999999952,5000,200970
R14-3b/seed1,b,eta,0.98,map,0.0,0.0,0.0,5000,200980
R14-3b/seed1,b,eta,0.99,map,0.0,0.0,0.0,5000,200990
R12-a2a,b,eta,0.99,map,0.0,0.0,0.0,20000,200990
