code,channel,axis_label,axis_value,decoder,ler_mean,ler_lo,ler_hi,n_shots,seed
R14-3b/seed0,b,eta,0.94,map,0.1705,0.154,0.188,2000,200940
R14-3b/seed0,b,eta,0.95,map,0.084,0.072,0.097,2000,200950
R14-3b/seed0,b,eta,0.96,map,0.019,0.013,0.02501249999999999,2000,200960
R14-3b/seed1,b,eta,0.94,map,0.182,0.165,0.199,2000,200940
R14-3b/seed1,b,eta,0.95,map,0.075,0.063,0.0875,2000,200950
R14-3b/seed1,b,eta,0.96,map,0.011,0.007,0.016,2000,200960
R14-3b/seed2,b,eta,0.94,map,0.1775,0.1609875,0.196,2000,200940
R14-3b/seed2,b,eta,0.95,map,0.057,0.0465,0.0665,2000,200950
R14-3b/seed2,b,eta,0.96,map,0.0165,0.011,0.0225,2000,200960
